timestamp,cpu_percent,mem_percent
2025-09-15 20:32:40,8.6,76.1
2025-09-15 20:32:41,14.1,76.1
2025-09-15 20:32:42,14.9,76.1
2025-09-15 20:32:43,12.6,76.1
2025-09-15 20:32:44,9.5,76.1
2025-09-15 20:32:45,11.4,76.2
2025-09-15 20:32:49,7.1,76.0
2025-09-15 20:32:50,10.2,76.0
2025-09-15 20:32:51,7.3,76.0
2025-09-15 20:32:52,13.1,75.8
